id,productName,productDescription,productPrice,productType
65,Tampflex,Tampflex_2.3.4,1.42,Hardware
66,Alpha,Alpha_0.62,3.88,Service
67,Andalax,Andalax_2.5.3,3.78,Hardware
68,Tresom,Tresom_0.19,5.79,Service
69,Cookley,Cookley_0.82,7.94,Service
70,Opela,Opela_0.9.6,0.01,Hardware
71,Tampflex,Tampflex_0.11,2.4,Software
72,Tin,Tin_6.8.3,2.65,Hardware
73,Duobam,Duobam_4.8.1,9.4,Software
74,Zontrax,Zontrax_0.5.9,0.3,Software
75,Otcom,Otcom_9.93,7.57,Hardware
76,Bytecard,Bytecard_8.8.9,5.03,Service
77,Redhold,Redhold_5.8.9,8.62,Software
78,Zoolab,Zoolab_0.12,0.98,Service
79,Zamit,Zamit_1.9,5.99,Hardware
80,Hatity,Hatity_4.4,1.37,Software
81,Quo Lux,Quo Lux_8.32,5.97,Hardware
82,Temp,Temp_8.8,2.78,Service
83,Latlux,Latlux_0.45,7.71,Service
84,Cookley,Cookley_0.69,8.55,Hardware
85,Flexidy,Flexidy_0.6.7,3.39,Hardware
86,Matsoft,Matsoft_0.48,9.14,Service
87,Quo Lux,Quo Lux_9.46,2.15,Service
88,Otcom,Otcom_0.2.7,8.54,Hardware
89,Veribet,Veribet_3.9.2,0.82,Hardware
90,Hatity,Hatity_3.1.1,3.06,Software
91,Sonair,Sonair_0.9.0,7.2,Software
92,Bamity,Bamity_2.8.3,6.81,Service
93,Tres-Zap,Tres-Zap_2.39,2.44,Service
94,Zaam-Dox,Zaam-Dox_3.0.7,0.14,Service
95,Quo Lux,Quo Lux_4.3,5.13,Software
96,Bytecard,Bytecard_0.5.4,8.71,Service
97,Toughjoyfax,Toughjoyfax_4.5,2.89,Hardware
98,Toughjoyfax,Toughjoyfax_0.74,2.04,Software
99,Toughjoyfax,Toughjoyfax_5.86,1.07,Service
100,Fixflex,Fixflex_4.2,9.43,Software
101,Tin,Tin_5.09,8.47,Service
102,Veribet,Veribet_9.66,6.22,Hardware
103,Zontrax,Zontrax_9.1.5,7.18,Hardware
104,Voyatouch,Voyatouch_0.76,2.39,Service
105,Voltsillam,Voltsillam_0.11,8.18,Service
106,Keylex,Keylex_5.0,0.22,Software
107,Tresom,Tresom_0.9.1,0.45,Hardware
108,Bitchip,Bitchip_4.0,1.44,Hardware
109,Voltsillam,Voltsillam_0.4.7,1.59,Service
110,Bitwolf,Bitwolf_0.2.2,9.45,Hardware
111,Rank,Rank_0.5.7,6.77,Software
112,Alpha,Alpha_0.85,4.66,Service
113,Zamit,Zamit_9.6.2,3.97,Hardware
114,Treeflex,Treeflex_7.5,4.71,Software
115,Sonair,Sonair_8.9,5.19,Software
116,Zamit,Zamit_0.1.7,6.4,Service
117,Andalax,Andalax_0.4.6,9.69,Service
118,Redhold,Redhold_0.55,0.55,Hardware
119,Ronstring,Ronstring_0.85,0.9,Software
120,Transcof,Transcof_1.13,2.74,Hardware
121,Solarbreeze,Solarbreeze_6.67,3.58,Hardware
122,Cookley,Cookley_0.73,9.56,Software
123,Bamity,Bamity_8.25,1.08,Service
124,Sonsing,Sonsing_2.3,7.71,Service
125,Greenlam,Greenlam_6.1.5,6.99,Service
126,Alphazap,Alphazap_5.3.5,1.25,Service
127,Toughjoyfax,Toughjoyfax_0.2.4,3.79,Service
128,Greenlam,Greenlam_0.2.5,4.83,Software
129,Tresom,Tresom_0.17,7.53,Software
130,Tres-Zap,Tres-Zap_4.15,6.27,Service
131,Zontrax,Zontrax_5.76,1.3,Service
132,Span,Span_5.87,0.03,Service
133,Viva,Viva_9.60,8.56,Hardware
134,Alpha,Alpha_8.8,6.59,Software
135,Tin,Tin_6.2,4.64,Software
136,Asoka,Asoka_2.57,4.8,Hardware
137,Zaam-Dox,Zaam-Dox_9.7,9.34,Software
138,Stim,Stim_7.3.3,9.08,Hardware
139,Latlux,Latlux_2.94,6.88,Software
140,Hatity,Hatity_4.12,3.88,Service
141,Ronstring,Ronstring_8.9,0.08,Hardware
142,Tin,Tin_0.6.3,0.08,Software
143,Fixflex,Fixflex_3.6,0.53,Software
144,Konklab,Konklab_8.4.4,3.39,Hardware
145,Bamity,Bamity_0.4.7,9.78,Hardware
146,Daltfresh,Daltfresh_2.8.8,4.77,Hardware
147,Cookley,Cookley_3.8.0,6.72,Service
148,Flowdesk,Flowdesk_5.8,2.41,Software
149,Zamit,Zamit_0.72,5.67,Hardware
150,Holdlamis,Holdlamis_0.62,3.61,Hardware
151,Bitwolf,Bitwolf_3.51,0.14,Hardware
152,Fixflex,Fixflex_9.1,2.47,Software
153,Tempsoft,Tempsoft_5.4.9,4.65,Software
154,Tresom,Tresom_1.6.1,8.24,Hardware
155,Regrant,Regrant_7.50,5.44,Software
156,Bitwolf,Bitwolf_5.14,8.13,Software
157,Regrant,Regrant_8.5,2.39,Hardware
158,Regrant,Regrant_0.8.9,0.61,Hardware
159,Veribet,Veribet_0.8.6,1.12,Hardware
160,Holdlamis,Holdlamis_9.24,1,Hardware
161,Konklab,Konklab_0.17,6.18,Software
162,Fix San,Fix San_4.27,1.14,Software
163,Bitchip,Bitchip_9.27,3.49,Software
164,Cardguard,Cardguard_7.17,0.83,Service
165,Zamit,Zamit_4.32,9.68,Hardware
166,Voltsillam,Voltsillam_6.81,3.94,Hardware
167,Opela,Opela_0.3.7,7.49,Service
168,Tampflex,Tampflex_0.30,4.01,Service
169,Voltsillam,Voltsillam_0.76,4.9,Hardware
170,Bamity,Bamity_0.82,4.71,Software
171,Solarbreeze,Solarbreeze_8.9,2.98,Hardware
172,Asoka,Asoka_0.93,6.69,Hardware
173,Andalax,Andalax_0.58,4.43,Hardware
174,Home Ing,Home Ing_1.3.5,0.77,Service
175,Otcom,Otcom_8.2,7.96,Service
176,Subin,Subin_3.9,2.35,Software
177,Wrapsafe,Wrapsafe_1.2,8.47,Software
178,Lotstring,Lotstring_5.57,2.38,Software
179,Andalax,Andalax_0.3.0,0.07,Software
180,Holdlamis,Holdlamis_0.32,2.4,Software
181,Keylex,Keylex_9.68,9.21,Software
182,Viva,Viva_4.16,7.59,Hardware
183,Quo Lux,Quo Lux_4.8.8,0.6,Service
184,Tresom,Tresom_4.55,7.21,Hardware
185,Opela,Opela_6.1,7.87,Hardware
186,Holdlamis,Holdlamis_6.32,5.62,Software
187,Tempsoft,Tempsoft_0.24,4.86,Service
188,Bigtax,Bigtax_1.6.6,8.83,Software
189,Overhold,Overhold_9.57,7.13,Software
190,Transcof,Transcof_0.2.6,2.45,Software
191,Duobam,Duobam_4.8,7.19,Software
192,Tresom,Tresom_2.0,1.4,Software
193,Mat Lam Tam,Mat Lam Tam_7.4,3,Software
194,Zontrax,Zontrax_9.7.8,5.36,Software
195,Keylex,Keylex_6.2,3.5,Software
196,Asoka,Asoka_5.3.7,3.66,Software
197,Stim,Stim_2.8,5.55,Hardware
198,Biodex,Biodex_0.78,5.06,Service
199,Opela,Opela_6.6,4.18,Hardware
200,Greenlam,Greenlam_0.4.8,1.27,Software
201,Bigtax,Bigtax_9.27,7.15,Software
202,Bigtax,Bigtax_2.0,6.25,Service
203,Andalax,Andalax_0.7.8,2.59,Software
204,Bitchip,Bitchip_0.2.9,6.78,Service
205,Voltsillam,Voltsillam_0.84,0.63,Software
206,Stronghold,Stronghold_7.0.5,3.42,Software
207,Biodex,Biodex_5.1.2,6.27,Hardware
208,Bitchip,Bitchip_0.6.2,7.48,Service
209,Bytecard,Bytecard_8.2,6.5,Service
210,Bitchip,Bitchip_0.8.8,2.34,Software
211,Tempsoft,Tempsoft_7.6.2,0.27,Service
212,Tin,Tin_0.78,1.54,Hardware
213,Asoka,Asoka_2.5,0.61,Service
214,Zathin,Zathin_0.2.4,3.61,Service
215,Treeflex,Treeflex_8.1,9.34,Hardware
216,Zoolab,Zoolab_1.9.8,3.76,Software
217,Fixflex,Fixflex_9.9.5,3.33,Software
218,Ventosanzap,Ventosanzap_9.70,5.62,Service
219,Sonsing,Sonsing_0.2.3,8.23,Software
220,Biodex,Biodex_0.6.2,3.3,Hardware
221,Veribet,Veribet_8.03,9.27,Service
222,Bitchip,Bitchip_0.8.9,6.74,Service
223,Daltfresh,Daltfresh_0.8.9,4.79,Service
224,Redhold,Redhold_7.1.9,5.92,Hardware
225,Stronghold,Stronghold_9.0.4,6.17,Software
226,Flowdesk,Flowdesk_0.9.4,6.06,Software
227,Matsoft,Matsoft_1.9.7,7.44,Hardware
228,Daltfresh,Daltfresh_7.8,7.03,Software
229,Fixflex,Fixflex_0.2.5,7.56,Hardware
230,Alpha,Alpha_3.6,4.86,Service
231,Sub-Ex,Sub-Ex_2.5.5,8.28,Software
232,Vagram,Vagram_3.41,0.07,Software
233,Span,Span_0.4.8,7.36,Software
234,Tresom,Tresom_0.2.1,8.43,Hardware
235,Span,Span_0.81,9.91,Hardware
236,Greenlam,Greenlam_0.59,0.98,Hardware
237,Zontrax,Zontrax_0.61,7.99,Hardware
238,Flowdesk,Flowdesk_5.0.8,8.13,Service
239,Sub-Ex,Sub-Ex_0.6.8,0.85,Software
240,Hatity,Hatity_4.2.1,0.78,Hardware
241,Flexidy,Flexidy_3.1.2,0.39,Software
242,Viva,Viva_0.3.1,9.45,Hardware
243,Voltsillam,Voltsillam_0.86,8.69,Service
244,Cardify,Cardify_4.52,4.48,Software
245,Stim,Stim_6.6,2.33,Hardware
246,Home Ing,Home Ing_1.2,4.67,Service
247,Transcof,Transcof_2.9,1.66,Software
248,Regrant,Regrant_5.2.7,4.44,Hardware
249,Namfix,Namfix_0.6.0,7.29,Service
250,Cardguard,Cardguard_7.11,7.88,Hardware
251,Domainer,Domainer_6.5.1,0.8,Service
252,Regrant,Regrant_4.58,3.04,Service
253,Zontrax,Zontrax_0.93,5.88,Software
254,Keylex,Keylex_0.64,0.84,Service
255,Latlux,Latlux_4.5.2,7.55,Hardware
256,Sub-Ex,Sub-Ex_2.86,5.56,Software
257,Stringtough,Stringtough_3.4.9,5.88,Hardware
258,Holdlamis,Holdlamis_0.9.3,5.67,Hardware
259,Greenlam,Greenlam_3.0,0.78,Service
260,Hatity,Hatity_5.8.8,5.11,Software
261,Bamity,Bamity_0.6.8,6.42,Software
262,Bamity,Bamity_7.10,5.25,Hardware
263,Aerified,Aerified_2.0.8,2.74,Service
264,Bigtax,Bigtax_0.94,4.51,Hardware
265,Alphazap,Alphazap_5.9,0.69,Service
266,Rank,Rank_0.9.5,7.57,Service
267,Konklux,Konklux_5.8,4.14,Service
268,Domainer,Domainer_6.0.1,9.14,Service
269,Job,Job_0.7.6,6.8,Service
270,Alphazap,Alphazap_1.7,8.42,Service
271,Bytecard,Bytecard_6.3,7.76,Hardware
272,Alpha,Alpha_0.75,7.56,Service
273,Voyatouch,Voyatouch_0.7.6,9.34,Hardware
274,Regrant,Regrant_4.7.7,0.16,Software
275,Zaam-Dox,Zaam-Dox_5.41,6.33,Software
276,Bitwolf,Bitwolf_2.84,1.51,Service
277,Sonsing,Sonsing_2.8.3,7.78,Software
278,Duobam,Duobam_0.1.4,7.72,Service
279,Andalax,Andalax_2.9,5.31,Service
280,Duobam,Duobam_8.40,3.92,Software
281,Sub-Ex,Sub-Ex_0.31,7.94,Service
282,Konklux,Konklux_6.6,7.47,Software
283,Alphazap,Alphazap_1.9,3.64,Service
284,Wrapsafe,Wrapsafe_6.48,4.8,Hardware
285,Daltfresh,Daltfresh_1.4.5,8.04,Hardware
286,Domainer,Domainer_0.19,9.37,Software
287,Alpha,Alpha_0.5.3,8.92,Hardware
288,Span,Span_3.5,2.83,Service
289,Fixflex,Fixflex_0.8.1,6.41,Hardware
290,Treeflex,Treeflex_7.4,9.85,Service
291,Alpha,Alpha_0.8.0,8.95,Software
292,Lotstring,Lotstring_0.24,7.38,Hardware
293,Ronstring,Ronstring_0.33,8.63,Software
294,Transcof,Transcof_7.4.5,3.74,Hardware
295,Lotlux,Lotlux_0.66,5.61,Hardware
296,Fintone,Fintone_8.56,5.92,Hardware
297,Otcom,Otcom_0.56,7.72,Service
298,Tres-Zap,Tres-Zap_0.84,2.34,Hardware
299,Kanlam,Kanlam_2.74,8.5,Software
300,Flowdesk,Flowdesk_5.5,7.16,Software
301,Zamit,Zamit_0.24,2.84,Software
302,Toughjoyfax,Toughjoyfax_1.8,8.85,Service
303,Alpha,Alpha_4.2,5.67,Software
304,Bytecard,Bytecard_0.41,1.08,Hardware
305,Sonsing,Sonsing_3.01,6.14,Hardware
306,Fixflex,Fixflex_8.2.3,0.06,Service
307,It,It_2.7,4.69,Software
308,Andalax,Andalax_0.9.3,5.97,Service
309,Bamity,Bamity_1.7.9,1.4,Software
310,Tin,Tin_0.48,0.96,Service
311,Wrapsafe,Wrapsafe_8.5,4.84,Service
312,Matsoft,Matsoft_3.0,0.92,Hardware
313,Sonair,Sonair_0.13,5.64,Service
314,Opela,Opela_1.4.6,9.55,Software
315,Keylex,Keylex_2.6.7,2.52,Hardware
316,Daltfresh,Daltfresh_9.0.9,0.38,Service
317,Toughjoyfax,Toughjoyfax_6.3.2,6.29,Software
318,Namfix,Namfix_8.9.7,0.79,Service
319,Temp,Temp_0.29,9.48,Hardware
320,Alpha,Alpha_0.72,7.04,Hardware
321,Zoolab,Zoolab_6.1.1,1.9,Hardware
322,Ronstring,Ronstring_6.7.9,4.26,Hardware
323,Voltsillam,Voltsillam_5.9,4.93,Service
324,Tin,Tin_0.71,6.82,Software
325,Zontrax,Zontrax_3.34,1.47,Service
326,Wrapsafe,Wrapsafe_9.3,9.53,Hardware
327,Bitchip,Bitchip_0.1.6,2.94,Service
328,Konklux,Konklux_9.9.1,7.73,Software
329,Veribet,Veribet_0.2.8,5.13,Service
330,Aerified,Aerified_0.5.6,5.54,Hardware
331,Sub-Ex,Sub-Ex_9.2.9,6.88,Service
332,Redhold,Redhold_7.2.8,4.37,Hardware
333,Solarbreeze,Solarbreeze_7.6.9,2.65,Service
334,Prodder,Prodder_7.8.0,8.35,Software
335,Span,Span_0.5.3,2.53,Hardware
336,It,It_7.2,5.38,Service
337,Subin,Subin_0.1.1,0.54,Software
338,Treeflex,Treeflex_7.9.7,8.45,Software
339,Span,Span_0.89,0.92,Hardware
340,Sonsing,Sonsing_3.52,3.95,Service
341,Bitwolf,Bitwolf_1.56,7.44,Software
342,Namfix,Namfix_7.26,0.52,Service
343,Latlux,Latlux_8.1.7,0.95,Software
344,Veribet,Veribet_2.6.5,5.87,Software
345,Alphazap,Alphazap_6.40,7.06,Service
346,Zathin,Zathin_7.7,6.56,Software
347,Zoolab,Zoolab_0.12,2.59,Hardware
348,Cardguard,Cardguard_0.89,6.64,Hardware
349,Tin,Tin_1.0,1.91,Service
350,Quo Lux,Quo Lux_4.8,2.82,Hardware
351,Solarbreeze,Solarbreeze_0.21,6.45,Service
352,Lotstring,Lotstring_9.69,4.12,Hardware
353,Bamity,Bamity_0.58,5.16,Service
354,Rank,Rank_0.1.2,4.28,Service
355,Job,Job_8.2.9,5.24,Hardware
356,Kanlam,Kanlam_4.7,1.99,Service
357,Overhold,Overhold_0.9.8,6.77,Service
358,Viva,Viva_5.3.4,7.67,Service
359,Lotstring,Lotstring_0.3.4,2.26,Software
360,Asoka,Asoka_0.8.2,7.37,Hardware
361,Zoolab,Zoolab_0.9.7,4.71,Service
362,It,It_2.0,6.91,Software
363,Temp,Temp_0.97,1.45,Hardware
364,Alpha,Alpha_1.1.6,2.2,Hardware
365,Sonair,Sonair_0.3.9,5.34,Service
366,It,It_8.66,3.68,Hardware
367,Cardguard,Cardguard_0.90,3.09,Hardware
368,Transcof,Transcof_0.88,1.86,Service
369,Vagram,Vagram_3.82,9.11,Service
370,Solarbreeze,Solarbreeze_8.5.6,2.53,Hardware
371,Bamity,Bamity_8.2,0.09,Hardware
372,Matsoft,Matsoft_0.46,8.34,Hardware
373,Vagram,Vagram_0.4.1,4.98,Hardware
374,Flexidy,Flexidy_0.27,5.38,Software
375,Voyatouch,Voyatouch_3.4.0,5.78,Hardware
376,Flowdesk,Flowdesk_6.6,2.34,Hardware
377,Bamity,Bamity_0.4.1,9.97,Software
378,Bitchip,Bitchip_0.44,2.81,Software
379,Namfix,Namfix_0.71,3.02,Hardware
380,It,It_8.7,1.43,Service
381,Solarbreeze,Solarbreeze_0.81,4.93,Software
382,Home Ing,Home Ing_0.1.6,8.33,Software
383,Sonair,Sonair_5.8,5.37,Service
384,Redhold,Redhold_8.31,9.15,Hardware
385,Wrapsafe,Wrapsafe_8.88,8.9,Service
386,Tin,Tin_5.9.1,3.14,Hardware
387,Bigtax,Bigtax_0.1.1,8.11,Hardware
388,Home Ing,Home Ing_7.00,3.74,Service
389,Tresom,Tresom_8.26,1.56,Service
390,Zathin,Zathin_0.3.1,4.84,Service
391,Quo Lux,Quo Lux_4.3,7.22,Hardware
392,Veribet,Veribet_9.2.2,2.95,Hardware
393,Bytecard,Bytecard_6.18,3.56,Hardware
394,Toughjoyfax,Toughjoyfax_3.46,4.31,Hardware
395,Treeflex,Treeflex_6.8.1,8.38,Hardware
396,Tempsoft,Tempsoft_0.5.1,3.36,Software
397,Konklux,Konklux_2.4.4,6.9,Service
398,Regrant,Regrant_0.4.9,0.71,Software
399,Vagram,Vagram_5.3.3,2.68,Service
400,Bytecard,Bytecard_6.2.1,7.87,Hardware
401,Keylex,Keylex_1.6,0.14,Service
402,Fintone,Fintone_0.1.7,5.88,Software
403,Flowdesk,Flowdesk_2.7.2,0.24,Service
404,Matsoft,Matsoft_0.6.8,2.53,Software
405,Y-find,Y-find_6.6.0,3.93,Software
406,Pannier,Pannier_4.3.3,4.24,Hardware
407,Treeflex,Treeflex_0.7.9,8.89,Service
408,Sub-Ex,Sub-Ex_0.59,7.36,Service
409,Fixflex,Fixflex_1.2.5,4.79,Service
410,Aerified,Aerified_2.1,9.56,Software
411,Tin,Tin_2.84,4.45,Hardware
412,Redhold,Redhold_0.8.6,1.04,Hardware
413,Job,Job_0.21,1.51,Software
414,Veribet,Veribet_0.14,9.06,Service
415,Bamity,Bamity_9.30,2.08,Software
416,Fintone,Fintone_8.5.0,3.42,Software
417,Zaam-Dox,Zaam-Dox_0.86,3.85,Software
418,Mat Lam Tam,Mat Lam Tam_3.9,10,Service
419,Fixflex,Fixflex_9.3,6.29,Software
420,Opela,Opela_1.3.6,3.23,Service
421,Tres-Zap,Tres-Zap_7.34,9.55,Hardware
422,Daltfresh,Daltfresh_0.8.1,0.59,Software
423,Zoolab,Zoolab_4.9,3.28,Service
424,Fix San,Fix San_0.7.0,5.77,Service
425,Temp,Temp_0.12,3.25,Service
426,Home Ing,Home Ing_5.56,5.04,Software
427,Namfix,Namfix_0.1.0,3.05,Software
428,Treeflex,Treeflex_0.5.4,7.64,Service
429,Kanlam,Kanlam_0.3.0,8.56,Hardware
430,Fix San,Fix San_0.9.5,1.58,Software
431,Y-find,Y-find_3.4.5,7.04,Hardware
432,Gembucket,Gembucket_7.28,6.58,Service
433,Andalax,Andalax_7.4.2,5.94,Software
434,Greenlam,Greenlam_7.12,0.44,Hardware
435,Stim,Stim_0.41,7.81,Service
436,Redhold,Redhold_0.85,5.78,Service
437,Rank,Rank_0.6.9,9.83,Software
438,Lotstring,Lotstring_2.35,7.34,Hardware
439,Asoka,Asoka_9.6.4,6.71,Software
440,Greenlam,Greenlam_0.42,7.77,Software
441,Viva,Viva_4.8,8.77,Software
442,Ronstring,Ronstring_0.80,5.8,Software
443,Ronstring,Ronstring_9.10,7.05,Hardware
444,Vagram,Vagram_0.68,0.47,Software
445,Andalax,Andalax_5.9,3.05,Service
446,Bitwolf,Bitwolf_8.9.5,9.59,Hardware
447,Fintone,Fintone_0.31,1.4,Service
448,Voltsillam,Voltsillam_9.4,1.63,Hardware
449,Andalax,Andalax_5.64,0.17,Software
450,Viva,Viva_0.2.2,2.2,Hardware
451,Bamity,Bamity_0.5.9,0.55,Service
452,Y-Solowarm,Y-Solowarm_9.6.9,5.9,Software
453,Trippledex,Trippledex_0.6.4,6.59,Service
454,Zathin,Zathin_2.4.7,0.17,Software
455,Treeflex,Treeflex_0.8.6,2.56,Hardware
456,Y-Solowarm,Y-Solowarm_1.3.3,6.24,Hardware
457,Opela,Opela_0.36,1.39,Service
458,Bamity,Bamity_0.22,8,Service
459,Bitwolf,Bitwolf_0.91,4.88,Hardware
460,Andalax,Andalax_0.7.6,0.42,Software
461,It,It_8.3,8.5,Hardware
462,Keylex,Keylex_0.44,4.56,Service
463,Redhold,Redhold_9.2.8,9.95,Service
464,Fixflex,Fixflex_6.2,1,Hardware
465,Gembucket,Gembucket_2.1.4,0.35,Hardware
466,Alphazap,Alphazap_1.6.5,2.76,Software
467,Sonsing,Sonsing_0.1.8,3.43,Hardware
468,Alphazap,Alphazap_2.0,1.64,Hardware
469,Stringtough,Stringtough_0.33,8.33,Software
470,Stronghold,Stronghold_7.03,9.64,Hardware
471,Kanlam,Kanlam_3.6.0,8.77,Software
472,Stim,Stim_0.3.3,4.73,Hardware
473,Biodex,Biodex_0.77,0.56,Software
474,Temp,Temp_1.64,3.61,Software
475,Lotstring,Lotstring_9.19,8.44,Hardware
476,Regrant,Regrant_7.6,7.63,Service
477,Rank,Rank_9.5,5.06,Service
478,Redhold,Redhold_0.48,5.23,Software
479,Treeflex,Treeflex_0.9.4,1.29,Service
480,Sonsing,Sonsing_0.41,1.15,Service
481,Aerified,Aerified_8.55,1.86,Hardware
482,Bitchip,Bitchip_2.3.4,4.82,Service
483,Bitwolf,Bitwolf_3.8,1.58,Service
484,Flexidy,Flexidy_1.3.5,3.57,Service
485,Fixflex,Fixflex_3.8,4.86,Service
486,Voltsillam,Voltsillam_0.7.3,1.01,Hardware
487,Prodder,Prodder_0.18,6.46,Software
488,Regrant,Regrant_5.2.0,0.84,Service
489,Stringtough,Stringtough_0.2.4,4.15,Hardware
490,Quo Lux,Quo Lux_7.6,6.74,Hardware
491,Daltfresh,Daltfresh_0.28,7.85,Software
492,Solarbreeze,Solarbreeze_4.4.6,8.2,Hardware
493,Stronghold,Stronghold_3.2.7,7.57,Hardware
494,Sub-Ex,Sub-Ex_0.63,3.45,Software
495,Biodex,Biodex_3.5.5,4.49,Software
496,Keylex,Keylex_0.7.8,4.05,Software
497,Rank,Rank_0.53,4.41,Hardware
498,Alphazap,Alphazap_0.64,2.44,Service
499,Bitchip,Bitchip_0.9.0,5.48,Service
500,Tres-Zap,Tres-Zap_0.32,4.42,Service
501,Job,Job_0.8.1,5.18,Hardware
502,Bamity,Bamity_0.41,5.48,Service
503,Tin,Tin_9.1,9.64,Hardware
504,Greenlam,Greenlam_2.1.4,7.1,Hardware
505,Bitwolf,Bitwolf_6.0.1,5.65,Hardware
506,Duobam,Duobam_6.4.8,6.6,Service
507,Voyatouch,Voyatouch_0.2.7,7.02,Software
508,Tresom,Tresom_1.18,5.47,Service
509,Namfix,Namfix_0.49,5.65,Service
510,Holdlamis,Holdlamis_0.17,9.04,Hardware
511,Fixflex,Fixflex_0.72,4.6,Service
512,Subin,Subin_0.28,9.08,Software
513,Zaam-Dox,Zaam-Dox_0.22,2.33,Service
514,Duobam,Duobam_3.8.7,4.3,Software
515,Veribet,Veribet_7.0,4.2,Hardware
516,Stringtough,Stringtough_0.5.8,6.89,Hardware
517,Mat Lam Tam,Mat Lam Tam_3.15,6.67,Software
518,Keylex,Keylex_0.1.1,5.65,Hardware
519,Fintone,Fintone_6.18,1.16,Software
520,Gembucket,Gembucket_3.62,6.78,Service
521,Matsoft,Matsoft_9.6.2,9.15,Service
522,Overhold,Overhold_0.7.0,1.5,Service
523,Y-Solowarm,Y-Solowarm_1.0.0,4.18,Service
524,Bitchip,Bitchip_0.8.1,2.35,Hardware
525,Veribet,Veribet_8.45,4.95,Hardware
526,Alphazap,Alphazap_0.5.9,6.47,Hardware
527,Sonsing,Sonsing_1.0.3,2.95,Service
528,Gembucket,Gembucket_6.86,0.72,Service
529,Fixflex,Fixflex_3.7,3.29,Software
530,It,It_1.2,6.11,Hardware
531,Fintone,Fintone_0.91,4.94,Service
532,Y-find,Y-find_0.39,2.42,Software
533,Pannier,Pannier_0.75,7.89,Service
534,Cardguard,Cardguard_0.8.6,9.14,Hardware
535,Treeflex,Treeflex_7.35,0.53,Hardware
536,Pannier,Pannier_0.67,4.5,Software
537,Asoka,Asoka_6.1,4.07,Service
538,Regrant,Regrant_9.2.9,3.58,Hardware
539,Daltfresh,Daltfresh_0.75,7.96,Service
540,Greenlam,Greenlam_0.87,3.07,Software
541,Zontrax,Zontrax_6.9,5.29,Software
